City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,urangan,-25.3,152.9,294.48,70,100,7.34,AU,1728856253
1,kisangani,0.5167,25.2,294.63,94,31,0.54,CD,1728856254
2,vorgashor,67.5833,63.95,271.69,95,55,6.27,RU,1728856255
3,ushuaia,-54.8,-68.3,281.96,71,40,7.72,AR,1728856257
4,port-aux-francais,-49.35,70.2167,277.08,90,93,10.38,TF,1728856258
5,edinburgh of the seven seas,-37.0676,-12.3116,286.89,81,100,11.12,SH,1728856260
6,dudinka,69.4058,86.1778,273.19,87,100,9.41,RU,1728856261
7,papatowai,-46.5619,169.4708,283.33,51,64,0.4,NZ,1728856262
8,motygino,58.1831,94.7592,268.99,64,100,3.28,RU,1728856263
9,paoua,7.2427,16.4406,293.64,93,96,1.32,CF,1728856265
10,blackmans bay,-43.0167,147.3167,282.89,71,20,0.89,AU,1728856266
11,kievka,50.2619,71.5514,271.59,49,100,7.79,KZ,1728856267
12,nova sintra,14.8667,-24.7167,300.78,74,37,2.13,CV,1728856269
13,west island,-12.1568,96.8225,299.14,89,40,6.69,CC,1728856270
14,castillos,-34.1667,-53.8333,289.01,74,100,3.42,UY,1728856271
15,joal-fadiout,14.1667,-16.8333,300.34,76,40,5.23,SN,1728856273
16,ancud,-41.8697,-73.8203,284.63,80,58,3.01,CL,1728855985
17,kapa'a,22.0752,-159.319,301.33,75,40,5.14,US,1728856276
18,hammerfest,70.6634,23.6821,278.4,70,0,1.54,NO,1728856278
19,port elizabeth,-33.918,25.5701,290.31,94,75,8.23,ZA,1728855939
20,aasiaat,68.7098,-52.8699,273.05,73,81,2.17,GL,1728856280
21,grytviken,-54.2811,-36.5092,271.95,81,25,4.73,GS,1728856281
22,puerto baquerizo moreno,-0.9,-89.6,296.7,88,40,5.66,EC,1728856207
23,albany,42.6001,-73.9662,280.69,79,97,2.28,US,1728856120
24,manta,-0.95,-80.7333,303.03,54,20,4.12,EC,1728856115
25,lerwick,60.1545,-1.1494,277.9,55,47,0.66,GB,1728856286
26,waitangi,-43.9535,-176.5597,286.38,80,95,3.13,NZ,1728856288
27,hawaiian paradise park,19.5933,-154.9731,301.97,70,20,4.12,US,1728856289
28,anadyr,64.75,177.4833,260.43,85,20,3.0,RU,1728856290
29,adamstown,-25.066,-130.1015,294.1,81,100,6.96,PN,1728856292
30,ilulissat,69.2167,-51.1,272.16,80,40,3.6,GL,1728856293
31,kerikeri,-35.2268,173.9474,286.94,62,100,1.96,NZ,1728856294
32,yellowknife,62.456,-114.3525,282.82,78,75,9.77,CA,1728856296
33,saint clairsville,40.0806,-80.9001,298.33,50,6,7.73,US,1728856297
34,iqaluit,63.7506,-68.5145,275.0,74,75,4.63,CA,1728856300
35,nabire,-3.3667,135.4833,297.67,94,100,1.5,ID,1728856301
36,goondiwindi,-28.55,150.3167,291.69,57,100,6.88,AU,1728856302
37,san patricio,28.017,-97.5169,306.12,30,0,4.53,US,1728856304
38,puerto natales,-51.7236,-72.4875,285.4,50,40,15.43,CL,1728856305
39,port lincoln,-34.7333,135.8667,289.08,82,0,6.64,AU,1728856306
40,sovetskiy,61.3614,63.5842,273.74,66,97,2.48,RU,1728856307
41,taulaga,-11.0553,-171.0883,300.71,78,77,7.15,AS,1728856308
42,kodiak,57.79,-152.4072,281.88,87,75,6.17,US,1728856310
43,acarau,-2.8856,-40.12,299.88,69,100,8.18,BR,1728856311
44,verkhnevilyuysk,63.4453,120.3167,261.9,97,96,1.37,RU,1728856312
45,siwa oasis,29.2041,25.5195,300.17,52,2,5.72,EG,1728856314
46,ust-nera,64.5667,143.2,263.6,90,75,1.56,RU,1728856315
47,jamestown,42.097,-79.2353,284.27,100,100,3.09,US,1728856317
48,alesund,62.4723,6.1549,278.89,88,75,3.6,NO,1728856318
49,ribeira grande,38.5167,-28.7,294.69,88,75,12.35,PT,1728856319
50,fortuna,40.5982,-124.1573,293.11,85,0,5.66,US,1728856321
51,lobujya,27.95,86.8167,264.59,58,0,2.36,NP,1728856322
52,tan-tan,28.438,-11.1032,293.38,80,36,3.73,MA,1728856323
53,san antonio de pale,-1.4014,5.6325,298.78,84,100,5.16,GQ,1728856325
54,la'ie,21.6477,-157.9253,302.07,68,17,3.58,US,1728856083
55,naze,28.3667,129.4833,297.66,77,3,4.62,JP,1728856327
56,north battleford,52.7834,-108.2847,286.2,33,0,7.72,CA,1728856329
57,bethel,41.3712,-73.414,290.38,68,75,4.63,US,1728856190
58,tiksi,71.6872,128.8694,260.91,88,100,4.44,RU,1728856331
59,puerto ayora,-0.7393,-90.3518,294.57,93,67,2.24,EC,1728856332
60,vadso,70.0744,29.7487,279.24,81,20,13.38,NO,1728856334
61,rongelap,11.1635,166.8941,301.56,77,57,6.26,MH,1728856335
62,longyearbyen,78.2186,15.6401,275.06,75,75,11.32,SJ,1728856336
63,happy valley-goose bay,53.3168,-60.3315,278.32,87,100,3.6,CA,1728856338
64,zhangjiakou,40.81,114.8794,283.02,92,14,1.27,CN,1728856339
65,talnakh,69.4865,88.3972,273.53,98,100,8.32,RU,1728856341
66,saipan,15.1355,145.701,300.54,89,40,0.0,MP,1728856342
67,yakutsk,62.0339,129.7331,268.13,80,75,2.0,RU,1728856165
68,udachny,66.4167,112.4,252.84,100,92,2.47,RU,1728856345
69,hermanus,-34.4187,19.2345,284.71,84,5,2.96,ZA,1728856347
70,abuja,9.0574,7.4898,298.23,95,100,1.24,NG,1728856251
71,lihue,21.9789,-159.3672,300.92,65,40,5.14,US,1728856273
72,new norfolk,-42.7826,147.0587,283.55,70,40,1.12,AU,1728856351
73,shalqar,47.8333,59.6,273.26,46,16,8.04,KZ,1728856353
74,meadow lake,34.8014,-106.5436,301.66,17,100,3.1,US,1728856354
75,lukolela,-1.0605,17.1821,295.54,95,97,1.52,CD,1728856357
76,ixtapa,20.7,-105.2,304.39,66,20,4.12,MX,1728856358
77,praia da vitoria,38.7333,-27.0667,292.29,100,75,1.27,PT,1728856360
78,berbera,10.4396,45.0143,303.8,64,23,3.3,SO,1728856363
79,santa cecilia,-26.9608,-50.4269,286.69,95,100,2.99,BR,1728856364
80,filingue,14.3521,3.3168,305.35,39,67,4.76,NE,1728856365
81,narok,-1.0783,35.8601,288.03,61,52,3.05,KE,1728856366
82,erumaippatti,11.1667,78.2833,296.88,96,100,1.11,IN,1728856367
83,rio grande,-32.035,-52.0986,290.97,79,25,8.05,BR,1728856317
84,shubarkuduk,49.1447,56.4872,271.47,55,0,5.16,KZ,1728856370
85,pskov,57.8136,28.3496,280.1,100,100,2.0,RU,1728856125
86,sadjoavato,-12.6334,49.349,293.35,77,22,4.32,MG,1728856372
87,magadan,59.5667,150.8,274.29,91,58,2.26,RU,1728856374
88,choibalsan,48.0667,114.5,272.43,91,100,9.8,MN,1728856375
89,glace bay,46.1969,-59.957,283.13,84,75,5.66,CA,1728856376
90,hamilton,39.1834,-84.5333,297.4,48,2,10.28,US,1728855859
91,gornopravdinsk,60.05,69.9,271.38,73,96,2.3,RU,1728856379
92,dalgopol,43.05,27.35,286.92,71,100,1.54,BG,1728856380
93,great falls,47.5002,-111.3008,293.24,38,0,4.12,US,1728856200
94,motozintla,15.3667,-92.2333,290.66,92,100,1.11,MX,1728856383
95,labytnangi,66.6572,66.4183,273.05,86,20,5.57,RU,1728856384
96,santa vitoria do palmar,-33.5189,-53.3681,289.75,78,99,4.34,BR,1728856385
97,al markaz,25.4,49.7333,301.48,72,0,1.33,SA,1728856387
98,saint-philippe,-21.3585,55.7679,293.72,75,44,4.86,RE,1728856388
99,mount gambier,-37.8333,140.7667,286.79,82,18,4.33,AU,1728856389
100,invercargill,-46.4,168.35,282.6,77,100,1.79,NZ,1728856391
101,bamboo flat,11.7,92.7167,299.2,94,40,1.54,IN,1728856392
102,chernyshevskiy,63.0128,112.4714,264.68,90,98,3.24,RU,1728856393
103,nar'yan-mar,67.6713,53.087,273.66,98,62,5.74,RU,1728856395
104,paita,-5.0892,-81.1144,292.5,80,24,7.6,PE,1728856396
105,petropavlovsk-kamchatsky,53.0452,158.6483,278.48,75,75,6.0,RU,1728856398
106,puerto deseado,-47.7503,-65.8938,286.53,48,0,3.91,AR,1728856366
107,ebon,4.582,168.6964,302.46,73,96,6.07,MH,1728856400
108,college,64.8569,-147.8028,277.64,85,75,1.54,US,1728856402
109,loango,-4.6719,11.8312,297.7,86,96,3.05,CG,1728856405
110,pervomayskoye,43.919,46.7102,285.9,58,100,7.21,RU,1728856406
111,san-pedro,4.7485,-6.6363,295.22,93,100,3.06,CI,1728856408
112,mata-utu,-13.2816,-176.1745,300.61,83,99,7.45,WF,1728856409
113,crane,31.3974,-102.3501,307.14,10,2,7.03,US,1728856412
114,isafjordur,66.0755,-23.124,270.94,68,1,2.59,IS,1728856413
115,dryden,49.7833,-92.7503,278.31,81,75,3.6,CA,1728856415
116,caucete,-31.6518,-68.2811,299.97,37,45,5.55,AR,1728856416
117,ornskoldsvik,63.2909,18.7153,281.68,87,100,2.06,SE,1728856417
118,lamar,33.6668,-95.5836,306.1,36,0,3.09,US,1728856312
119,mammoth lakes,37.6485,-118.9721,293.55,15,0,2.57,US,1728856420
120,ogoja,6.6547,8.7976,295.9,94,75,2.54,NG,1728856421
121,alice springs,-23.7,133.8833,297.9,41,28,2.06,AU,1728856422
122,perbaungan,3.5679,98.956,296.87,93,100,0.16,ID,1728856424
123,lebu,-37.6167,-73.65,284.96,78,32,5.52,CL,1728856425
124,atafu village,-8.5421,-172.5159,301.09,76,37,5.48,TK,1728856426
125,gros morne,19.6667,-72.6833,302.04,73,34,1.13,HT,1728856427
126,lubango,-14.9172,13.4925,288.07,94,0,2.57,AO,1728856429
127,tadine,-21.55,167.8833,295.26,51,100,6.05,NC,1728856430
128,namibe,-15.1961,12.1522,293.78,87,78,1.92,AO,1728856431
129,fort st. john,56.2499,-120.8529,294.09,35,75,6.17,CA,1728856340
130,fale old settlement,-9.3852,-171.2468,301.23,76,64,5.23,TK,1728856434
131,mersa matruh,31.3525,27.2453,298.26,69,20,3.6,EG,1728856435
132,lorengau,-2.0226,147.2712,302.77,68,93,4.06,PG,1728856436
133,loch garman,52.3342,-6.4575,284.2,100,100,7.15,IE,1728856437
134,caussade,44.1608,1.5391,290.04,80,3,1.63,FR,1728856438
135,berdigestyakh,62.0989,126.6992,266.61,97,100,1.59,RU,1728856440
136,shevchenkove,49.6959,37.1735,277.86,79,100,8.23,UA,1728856441
137,chonchi,-42.6128,-73.8092,286.55,83,87,0.48,CL,1728856194
138,margaret river,-33.95,115.0667,287.98,89,49,3.73,AU,1728856443
139,wailua homesteads,22.0669,-159.378,300.59,75,40,5.14,US,1728856444
140,brokopondo,4.75,-55.1667,303.12,50,100,3.45,SR,1728856823
141,port mathurin,-19.6833,63.4167,295.23,75,80,9.84,MU,1728856824
142,qaqortoq,60.7167,-46.0333,276.03,61,53,4.41,GL,1728856825
143,burang,30.25,81.1667,274.12,32,3,1.77,CN,1728856826
144,utrik,11.2278,169.8474,301.5,77,100,6.29,MH,1728856827
145,whitehorse,60.7161,-135.0538,282.05,57,75,6.17,CA,1728856828
146,arraial do cabo,-22.9661,-42.0278,296.07,88,20,4.12,BR,1728856829
147,diamantino,-14.4086,-56.4461,296.91,73,98,3.87,BR,1728856831
148,tazovsky,67.4667,78.7,274.95,80,79,11.8,RU,1728856833
149,port moresby,-9.4431,147.1797,298.83,83,40,1.03,PG,1728856835
150,aykhal,66.0,111.5,258.08,100,100,3.28,RU,1728856836
151,mbale,1.0821,34.175,291.52,86,49,2.2,UG,1728856838
152,yuzhno-kurilsk,44.0306,145.8556,283.6,60,0,2.24,RU,1728856839
153,selkirk,50.1436,-96.8845,282.14,71,91,3.58,CA,1728856840
154,tipasa,36.5897,2.4475,301.55,39,74,5.28,DZ,1728856842
155,cabo san lucas,22.8909,-109.9124,301.75,66,0,3.84,MX,1728856664
156,lensk,60.7253,114.9278,264.98,84,59,3.21,RU,1728856845
157,sorsk,54.0033,90.2467,266.6,71,38,0.41,RU,1728856847
158,la passe,45.5549,-0.8967,291.11,84,29,3.93,FR,1728856848
